t_s,linear_x,angular_z
0.111,0.25,-0.025823782234957054
0.112,0.25,-0.025329988694177567
0.139,0.25,-0.025075842173831898
0.189,0.25,-0.024369646182495153
0.24,0.25,-0.024969273743016666
0.289,0.25,-0.02473359878649969
0.343,0.25,-0.02542176870748282
0.389,0.25,-0.02484715123982571
0.439,0.25,-0.025149371069182427
0.489,0.25,-0.025243674525589305
0.539,0.25,-0.025237245383590155
0.589,0.25,-0.025344014626635707
0.639,0.25,-0.025897527682321272
0.689,0.25,-0.025452867280398764
0.739,0.25,-0.025692130959218813
0.789,0.25,-0.026214244016345596
0.839,0.25,-0.02580608603395053
0.889,0.25,-0.02489352640545153
0.939,0.25,-0.026813582409028914
0.989,0.25,-0.02490588346575844
1.039,0.25,-0.025958165612420953
1.09,0.25,-0.024840470788428916
1.139,0.25,-0.025233180428134428
1.189,0.25,-0.02417824074074055
1.239,0.25,-0.024831394248959488
1.289,0.25,-0.02504989595157006
1.343,0.25,-0.025540043909889183
1.389,0.25,-0.025134014192558316
1.439,0.25,-0.0252816666666666
1.489,0.25,-0.025373488773747857
1.539,0.25,-0.0253478178006479
1.589,0.25,-0.025190150218672613
1.639,0.25,-0.02488291619264309
1.689,0.25,-0.02534355886850154
1.739,0.25,-0.02524006465107405
1.789,0.25,-0.02368850542461636
1.839,0.25,-0.024607717803030057
1.889,0.25,-0.024491714015151374
1.939,0.25,-0.024576988155668427
1.989,0.25,-0.024958450704225397
2.039,0.25,-0.02444930398796078
2.089,0.25,-0.024928902116401835
2.139,0.25,-0.024366114852225812
2.189,0.25,-0.02428638497652564
2.238,0.25,-0.023376080420894247
2.289,0.25,-0.024037525734605828
2.345,0.25,-0.02552248677248677
2.389,0.25,-0.02430996973136583
2.44,0.25,-0.025293413746888472
2.489,0.25,-0.025682730923694733
2.539,0.25,-0.024078834003446372
2.589,0.25,-0.02504426481909139
2.639,0.25,-0.024316177880007533
2.689,0.25,-0.02401394422310769
2.739,0.25,-0.025777164439279507
2.789,0.25,-0.023837365591397625
2.839,0.25,-0.025274407856730113
2.889,0.25,-0.025076550387596864
2.939,0.25,-0.02388715179079032
2.989,0.25,-0.02388715179079032
3.039,0.25,-0.02412710970464115
3.089,0.25,-0.023850887235260347
3.139,0.25,-0.023886752136752204
3.189,0.25,-0.025131553769613253
3.239,0.25,-0.023854048964218357
3.289,0.25,-0.023850887235260347
3.343,0.25,-0.02401394422310769
3.389,0.25,-0.023722779369627602
3.439,0.25,-0.025145433391506627
3.488,0.25,-0.023850887235260347
3.539,0.25,-0.02371855345911946
3.589,0.25,-0.023082862523540477
3.639,0.25,-0.024043478260869437
3.689,0.25,-0.024683362118595297
3.739,0.25,-0.02462478435882698
3.789,0.25,-0.023376815749235252
3.839,0.25,-0.024512230634828106
3.889,0.25,-0.023670130869899848
3.939,0.25,-0.02361255286428289
3.989,0.25,-0.02488396624472557
4.039,0.25,-0.023255645628257077
4.089,0.25,-0.024424557351808963
4.139,0.25,-0.025744287634408315
4.189,0.25,-0.024395462377943603
4.239,0.25,-0.025549731954815087
4.289,0.25,-0.025729166666666536
4.343,0.25,-0.024564036592338565
4.389,0.25,-0.025142980935875307
4.438,0.25,-0.024777393974284863
4.489,0.25,-0.023173381831747726
4.539,0.25,-0.0238688794726929
4.589,0.25,-0.02405423280423264
4.639,0.25,-0.02405423280423264
4.689,0.25,-0.023901298205421855
4.739,0.25,-0.02403889835320829
4.789,0.25,-0.023395182291666677
4.839,0.25,-0.02367140151515137
4.889,0.25,-0.023830852890669725
4.939,0.25,-0.023728367193378366
4.989,0.25,-0.024807401097860973
5.039,0.25,-0.02542446587256556
5.089,0.25,-0.02401394422310769
5.139,0.25,-0.02479820627802702
5.189,0.25,-0.02399402390438258
5.239,0.25,-0.02441076487252129
5.289,0.25,-0.024342306223749333
5.343,0.25,-0.026039176626825762
5.389,0.25,-0.025109126984126994
5.439,0.25,-0.023861823361823298
5.489,0.25,-0.024106225014277595
5.539,0.25,-0.024016064257028197
5.589,0.25,-0.024081888246628155
5.639,0.25,-0.02395845272206301
5.688,0.25,-0.02395845272206301
5.739,0.25,-0.02526352874859075
5.789,0.25,-0.02395845272206301
5.839,0.25,-0.024061224489795946
5.889,0.25,-0.02343373493975896
5.939,0.25,-0.023326554328878438
5.989,0.25,-0.024766686355581907
6.039,0.25,-0.023651974951830395
